gene_id	control_1	control_2	treatment_1	treatment_2
Glyma.01G033200.Wm82.a4.v1	50	48	48	90
Glyma.01G033300.Wm82.a4.v1	178	131	145	415
Glyma.01G033400.Wm82.a4.v1	80	183	130	180
Glyma.01G033500.Wm82.a4.v1	17	5	0	4
Glyma.01G033700.Wm82.a4.v1	149	182	40	73
Glyma.01G033800.Wm82.a4.v1	300	286	38	157
Glyma.01G033900.Wm82.a4.v1	103	130	30	61
Glyma.01G034000.Wm82.a4.v1	324	569	179	263
Glyma.01G034100.Wm82.a4.v1	0	0	4	13
Glyma.01G034200.Wm82.a4.v1	0	0	4	2
Glyma.01G034300.Wm82.a4.v1	262	210	129	266
Glyma.01G034402.Wm82.a4.v1	20	47	9	7
Glyma.01G034500.Wm82.a4.v1	20	0	0	0
Glyma.01G034600.Wm82.a4.v1	0	30	13	35
Glyma.01G034700.Wm82.a4.v1	0	0	0	0
Glyma.01G034800.Wm82.a4.v1	0	0	0	0
Glyma.01G034900.Wm82.a4.v1	63	83	10	52
Glyma.01G035000.Wm82.a4.v1	17	0	0	9
Glyma.01G035100.Wm82.a4.v1	766	587	126	453
Glyma.01G035202.Wm82.a4.v1	0	0	0	5
Glyma.01G035300.Wm82.a4.v1	6	8	5	15
Glyma.01G035350.Wm82.a4.v1	0	0	0	0
Glyma.01G035400.Wm82.a4.v1	0	13	19	13
Glyma.01G035500.Wm82.a4.v1	119	137	15	30
Glyma.01G035600.Wm82.a4.v1	148	203	11	71
Glyma.01G035700.Wm82.a4.v1	137	117	21	59
Glyma.01G035800.Wm82.a4.v1	6	5	1	1
Glyma.01G036000.Wm82.a4.v1	210	357	439	588
Glyma.01G036050.Wm82.a4.v1	0	0	0	0
Glyma.01G036100.Wm82.a4.v1	0	6	0	0
Glyma.01G036200.Wm82.a4.v1	147	198	56	123
Glyma.01G036300.Wm82.a4.v1	0	0	0	0
Glyma.01G036400.Wm82.a4.v1	0	0	0	0
Glyma.01G036500.Wm82.a4.v1	347	453	265	531
Glyma.01G036550.Wm82.a4.v1	0	0	0	0
Glyma.01G036600.Wm82.a4.v1	158	169	513	787
Glyma.01G036700.Wm82.a4.v1	337	435	252	477
Glyma.01G036751.Wm82.a4.v1	62	99	7	28
Glyma.01G036800.Wm82.a4.v1	34	35	39	36
Glyma.01G036900.Wm82.a4.v1	1509	1523	6588	9719
Glyma.01G037000.Wm82.a4.v1	0	0	0	4
Glyma.01G037100.Wm82.a4.v1	0	0	0	0
Glyma.01G037200.Wm82.a4.v1	65	77	765	1143
Glyma.01G037300.Wm82.a4.v1	784	579	211	598
